,frequency,amplitude
108,-8.97073658779913,10.737191910803766
109,-8.852116253583521,10.542511882254477
110,-8.737490702363212,10.353226858329279
111,-8.626649828832086,10.169074101808942
112,-8.519397185639432,9.989807600691812
113,-8.415548886420986,9.815196738954878
114,-8.31493261442747,9.645025094614137
115,-8.217386723163438,9.479089346593698
116,-8.122759415745866,9.317198281672043
117,-8.030908003597977,9.159171892919828
118,-7.941698226436513,9.004840551929597
119,-7.855003632782063,8.85404425912602
120,-7.770705014212368,8.70663195372371
121,-7.688689887411798,8.562460886640405
122,-7.608852019426216,8.42139604078979
123,-7.531090993104904,8.28330960155336
124,-7.455311804726337,8.148080470502117
125,-7.381424498771549,8.015593816317313
126,-7.309343826842103,7.885740662403142
127,-7.2389889359666455,7.75841750578852
128,-7.170283081136036,7.633525965852838
129,-7.103153357466965,7.510972459369942
130,-7.0375304543133055,7.390667898849211
131,-6.9733484278713735,7.272527415745054
132,-6.910544488429297,7.1564701003934905
133,-6.849058804988689,7.042418763307831
134,-6.788834322896447,6.93029971263176
135,-6.729816594484729,6.820042545798597
136,-6.671953620947578,6.711579958280754
137,-6.615195706031726,6.604847562867256
138,-6.5594953197109644,6.49978372269778
139,-6.504806968825036,6.39632939508917
140,-6.451087079429193,6.294427984583824
141,-6.398293884775697,6.194025207361397
142,-6.34638731991279,6.095068963016958
143,-6.295328926665404,5.997509215152004
144,-6.245081758232434,5.901297878823147
145,-6.195610297300289,5.806388715195896
146,-6.1468803716538805,5.712737233049893
147,-6.098859081609924,5.620300596343352
148,-6.051514725887378,5.529037535827829
149,-6.0048167369856476,5.43890826732606
150,-5.958735615736028,5.349874414413412
151,-5.913242872645542,5.261898935557754
152,-5.86831097163032,5.174946054503433
153,-5.823913276078498,5.088981195781592
154,-5.780023999381594,5.003970923608135
155,-5.736618156234442,4.919882882384817
156,-5.693671517749644,4.836685742830845
157,-5.65116056897441,4.754349149590446
158,-5.6090624673245895,4.672843671307212
159,-5.567355004569272,4.592140754018976
160,-5.526016569355594,4.512212676175631
161,-5.485026111998696,4.433032506686313
162,-5.444363110827661,4.354574064156994
163,-5.404007541464101,4.276811878479398
164,-5.363939843605813,4.1997211540433526
165,-5.324140893814791,4.123277734903171
166,-5.2845919762581275,4.047458069788181
167,-5.245274753427203,3.972239183477015
168,-5.206171246808131,3.8975986434281795
169,-5.167263803428031,3.823514528586712
170,-5.128535076207089,3.7499654057433607
171,-5.089968000116993,3.6769302986685615
172,-5.051545767854063,3.6043886632062563
173,-5.013251809047125,3.532320361356744
174,-4.975069767392136,3.4607056380140095
175,-4.936983481525728,3.3895250967696633
176,-4.8989769630899165,3.3187596757212656
177,-4.861034376468505,3.248390627632297
178,-4.823140020408953,3.1783994963006084
179,-4.785278307081558,3.10876809642392
180,-4.747433744232172,3.0394784936283497
181,-4.709590915905422,2.9705129830883004
182,-4.6717344634526325,2.9018540707439398
183,-4.633849067167151,2.8334844538925585
184,-4.595919428277954,2.76538700216395
185,-4.557930249755187,2.697544738476954
186,-4.519866218577232,2.6299408215009907
187,-4.481711987193888,2.5625585260646107
188,-4.443452154215031,2.4953812258997305
189,-4.405071246822622,2.4283923755237584
190,-4.366553701135973,2.3615754915695346
191,-4.327883843387248,2.2949141357080727
192,-4.289045870608048,2.228391895669305
193,-4.250023830569574,2.161992367491658
194,-4.210801601874354,2.0956991374156733
195,-4.171362873374928,2.029495763346744
196,-4.131691123168361,1.9633657557500102
197,-4.091769596725227,1.8972925592892267
198,-4.051581285112001,1.831259533127106
199,-4.011108901236762,1.7652499314265044
200,-3.970334857233426,1.6992468834880372
201,-3.9292412391854414,1.6332333727124406
202,-3.8878097818257595,1.5671922156208224
203,-3.8460218425368216,1.5011060404947467
204,-3.803858373412824,1.4349572645340678
205,-3.7612998930630743,1.3687280707901985
206,-3.7183264565846597,1.3024003846775156
207,-3.6749176246449418,1.2359558482765993
208,-3.6310524303846954,1.1693757950348735
209,-3.5867093451895773,1.102641222913478
210,-3.5418662437163593,1.0357327659024023
211,-3.4965003642255343,0.9686306661014981
212,-3.4505882727653376,0.9013147399450903
213,-3.4041058143876097,0.8337643497281455
214,-3.357028077744987,0.7659583675876678
215,-3.3093293406633095,0.6978751400775844
216,-3.2609830257913166,0.629492451410846
217,-3.211961645732783,0.5607874843892295
218,-3.162236749289681,0.49173677725854503
219,-3.1117788621326605,0.4223161812981071
